Property,m0,m1,m2,Result
Property_1,32,12,-35,0.190739835692
Property_1,32,12,-30,0.190739835692
Property_1,32,12,-25,0.185487635772
Property_1,32,12,-20,0.0204810239661
Property_1,32,12,-15,0
Property_1,32,22,-35,0.871714263255
Property_1,32,22,-30,0.351839459161
Property_1,32,22,-25,0.342151230309
Property_1,32,22,-20,0.0370862910862
Property_1,32,22,-15,0
Property_1,32,32,-35,0.888263612135
Property_1,32,32,-30,0.355997347761
Property_1,32,32,-25,0.346194627554
Property_1,32,32,-20,0.0374883094957
Property_1,32,32,-15,0
Property_1,33,12,-35,0.190739835692
Property_1,33,12,-30,0.190739835692
Property_1,33,12,-25,0.185487635772
Property_1,33,12,-20,0.0204810239661
Property_1,33,12,-15,0
Property_1,33,22,-35,0.871714263255
Property_1,33,22,-30,0.351839459161
Property_1,33,22,-25,0.342151230309
Property_1,33,22,-20,0.0370862910862
Property_1,33,22,-15,0
Property_1,33,32,-35,0.888263612135
Property_1,33,32,-30,0.355997347761
Property_1,33,32,-25,0.346194627554
Property_1,33,32,-20,0.0374883094957
Property_1,33,32,-15,0
Property_1,34,12,-35,0.190644168286
Property_1,34,12,-30,0.190644168286
Property_1,34,12,-25,0.185487635772
Property_1,34,12,-20,0.0204810239661
Property_1,34,12,-15,0
Property_1,34,22,-35,0.871531901964
Property_1,34,22,-30,0.35165709787
Property_1,34,22,-25,0.342151230309
Property_1,34,22,-20,0.0370862910862
Property_1,34,22,-15,0
Property_1,34,32,-35,0.888079155157
Property_1,34,32,-30,0.355812890783
Property_1,34,32,-25,0.346194627554
Property_1,34,32,-20,0.0374883094957
Property_1,34,32,-15,0
Property_1,35,12,-35,0
Property_1,35,12,-30,0
Property_1,35,12,-25,0
Property_1,35,12,-20,0
Property_1,35,12,-15,0
Property_1,35,22,-35,0
Property_1,35,22,-30,0
Property_1,35,22,-25,0
Property_1,35,22,-20,0
Property_1,35,22,-15,0
Property_1,35,32,-35,0
Property_1,35,32,-30,0
Property_1,35,32,-25,0
Property_1,35,32,-20,0
Property_1,35,32,-15,0
Property_1,36,12,-35,0
Property_1,36,12,-30,0
Property_1,36,12,-25,0
Property_1,36,12,-20,0
Property_1,36,12,-15,0
Property_1,36,22,-35,0
Property_1,36,22,-30,0
Property_1,36,22,-25,0
Property_1,36,22,-20,0
Property_1,36,22,-15,0
Property_1,36,32,-35,0
Property_1,36,32,-30,0
Property_1,36,32,-25,0
Property_1,36,32,-20,0
Property_1,36,32,-15,0
