Property,m1,Result
Property_1,0,0
Property_1,1,0
Property_1,2,0
Property_1,3,0
Property_1,4,4
Property_1,5,4
Property_1,6,4
Property_1,7,4
Property_1,8,7.65073687223
Property_1,9,7.65073687223
Property_1,10,7.65073687223
Property_1,11,7.65073687223
Property_1,12,11.3014737445
Property_1,13,11.3014737445
Property_1,14,11.3014737445
Property_1,15,11.3014737445
Property_1,16,14.9522106167
Property_1,17,14.9522106167
Property_1,18,14.9522106167
Property_1,19,14.9522106167
Property_1,20,18.6531387302
Property_1,21,18.6531387302
Property_1,22,18.6531387302
Property_1,23,18.6531387302
Property_1,24,23.6380315411
Property_1,25,23.6380315411
Property_1,26,23.6380315411
Property_1,27,23.6380315411
Property_1,28,31.1529326627
Property_1,29,31.1529326627
Property_1,30,31.1529326627
Property_1,31,31.1529326627
Property_1,32,32.9960472362
Property_1,33,32.9960472362
Property_1,34,32.9960472362
Property_1,35,32.9960472362
Property_1,36,34.1927749422
Property_1,37,34.1927749422
Property_1,38,34.1927749422
Property_1,39,34.1927749422
Property_1,40,34.9542631984
Property_1,41,34.9542631984
Property_1,42,34.9542631984
Property_1,43,34.9542631984
Property_1,44,35.5503846804
Property_1,45,35.5503846804
Property_1,46,35.5503846804
Property_1,47,35.5503846804
Property_1,48,35.7385319827
Property_1,49,35.7385319827
Property_1,50,35.7385319827
Property_1,51,35.7385319827
Property_1,52,35.836698423
Property_1,53,35.836698423
Property_1,54,35.836698423
Property_1,55,35.836698423
Property_1,56,35.9115675354
Property_1,57,35.9115675354
Property_1,58,35.9115675354
Property_1,59,35.9115675354
Property_1,60,35.9565782267
Property_1,61,35.9565782267
Property_1,62,35.9565782267
Property_1,63,35.9565782267
Property_1,64,35.9926230907
Property_1,65,35.9926230907
Property_1,66,35.9926230907
Property_1,67,35.9926230907
Property_1,68,36.0142963266
Property_1,69,36.0142963266
Property_1,70,36.0142963266
Property_1,71,36.0142963266
Property_1,72,36.0316523995
Property_1,73,36.0316523995
Property_1,74,36.0316523995
Property_1,75,36.0316523995
Property_1,76,36.0420883457
Property_1,77,36.0420883457
Property_1,78,36.0420883457
Property_1,79,36.0420883457
Property_1,80,36.0504455215
