Property,m1,Result
Property_1,0,0
Property_1,1,0
Property_1,2,0
Property_1,3,0
Property_1,4,1.63636363636
Property_1,5,1.63636363636
Property_1,6,22
Property_1,7,22
Property_1,8,22.0606060606
Property_1,9,22.0606060606
Property_1,10,24
Property_1,11,24
Property_1,12,24.0606060606
Property_1,13,24.0606060606
Property_1,14,26
Property_1,15,26
Property_1,16,26.0606060606
Property_1,17,26.0606060606
Property_1,18,28
Property_1,19,28
Property_1,20,28.0606060606
Property_1,21,28.0606060606
Property_1,22,30
Property_1,23,30
Property_1,24,30.0490196078
Property_1,25,30.0490196078
Property_1,26,31.6176470588
Property_1,27,31.6176470588
Property_1,28,31.6488413547
Property_1,29,31.6488413547
Property_1,30,32.6470588235
Property_1,31,32.6470588235
Property_1,32,32.7905525847
Property_1,33,32.7905525847
Property_1,34,37.3823529412
Property_1,35,37.3823529412
Property_1,36,37.4081996435
Property_1,37,37.4081996435
Property_1,38,38.2352941176
Property_1,39,38.2352941176
Property_1,40,38.2959001783
Property_1,41,38.2959001783
Property_1,42,40.2352941176
Property_1,43,40.2352941176
Property_1,44,40.2367358708
Property_1,45,40.2367358708
Property_1,46,40.2828719723
Property_1,47,40.2828719723
Property_1,48,40.342612981
Property_1,49,40.342612981
Property_1,50,42.2543252595
Property_1,51,42.2543252595
Property_1,52,42.2585456643
Property_1,53,42.2585456643
Property_1,54,42.3935986159
Property_1,55,42.3935986159
Property_1,56,42.394358813
Property_1,57,42.394358813
Property_1,58,42.4186851211
Property_1,59,42.4186851211
Property_1,60,42.4204676523
Property_1,61,42.4204676523
Property_1,62,42.4775086505
Property_1,63,42.4775086505
Property_1,64,42.477551055
Property_1,65,42.477551055
Property_1,66,42.4789079992
Property_1,67,42.4789079992
Property_1,68,42.4806650877
Property_1,69,42.4806650877
Property_1,70,42.5368919194
Property_1,71,42.5368919194
Property_1,72,42.5370160489
Property_1,73,42.5370160489
Property_1,74,42.5409881946
Property_1,75,42.5409881946
Property_1,76,42.5410105533
Property_1,77,42.5410105533
Property_1,78,42.541726033
Property_1,79,42.541726033
Property_1,80,42.5903312148
Property_1,81,42.5903312148
Property_1,82,44.1755756513
Property_1,83,44.1755756513
Property_1,84,45.1316926781
Property_1,85,45.1316926781
Property_1,86,45.2096971074
Property_1,87,45.2096971074
Property_1,88,47.7567453628
Property_1,89,47.7567453628
Property_1,90,49.4440511318
Property_1,91,49.4440511318
Property_1,92,50.0111260556
Property_1,93,50.0111260556
Property_1,94,50.3100290645
Property_1,95,50.3100290645
Property_1,96,50.3100297222
Property_1,97,50.3100297222
Property_1,98,50.3100507657
Property_1,99,50.3100507657
Property_1,100,50.3114803298
Property_1,101,50.3114803298
Property_1,102,50.3581051662
Property_1,103,50.3581051662
Property_1,104,50.3862262552
Property_1,105,50.3862262552
Property_1,106,50.3885205032
Property_1,107,50.3885205032
Property_1,108,50.4634336871
Property_1,109,50.4634336871
Property_1,110,50.5130603274
Property_1,111,50.5130603274
Property_1,112,50.5297390016
Property_1,113,50.5297390016
Property_1,114,50.5385302666
Property_1,115,50.5385302666
Property_1,116,50.5385302859
Property_1,117,50.5385302859
Property_1,118,50.5385309049
Property_1,119,50.5385309049
Property_1,120,50.5385729509
