Property,m1,Result
Property_1,0,0
Property_1,1,0
Property_1,2,0
Property_1,3,0
Property_1,4,0
Property_1,5,0
Property_1,6,0
Property_1,7,0
Property_1,8,0
Property_1,9,0
Property_1,10,0
Property_1,11,0
Property_1,12,0
Property_1,13,0
Property_1,14,0
Property_1,15,0
Property_1,16,0
Property_1,17,0
Property_1,18,0
Property_1,19,0
Property_1,20,0
Property_1,21,0
Property_1,22,0
Property_1,23,0
Property_1,24,0.535006120245
Property_1,25,0.535006120245
Property_1,26,0.535006120245
Property_1,27,0.535006120245
Property_1,28,5.04982897814
Property_1,29,5.04982897814
Property_1,30,5.04982897814
Property_1,31,5.04982897814
Property_1,32,17.3990935011
Property_1,33,17.3990935011
Property_1,34,17.3990935011
Property_1,35,17.3990935011
Property_1,36,30.0639941736
Property_1,37,30.0639941736
Property_1,38,30.0639941736
Property_1,39,30.0639941736
Property_1,40,42.7020489382
Property_1,41,42.7020489382
Property_1,42,42.7020489382
Property_1,43,42.7020489382
Property_1,44,56.2531372437
Property_1,45,56.2531372437
Property_1,46,56.2531372437
Property_1,47,56.2531372437
Property_1,48,65.8130169404
Property_1,49,65.8130169404
Property_1,50,65.8130169404
Property_1,51,65.8130169404
Property_1,52,67.7049828236
Property_1,53,67.7049828236
Property_1,54,67.7049828236
Property_1,55,67.7049828236
Property_1,56,67.8117942037
Property_1,57,67.8117942037
Property_1,58,67.8117942037
Property_1,59,67.8117942037
Property_1,60,67.997817876
Property_1,61,67.997817876
Property_1,62,67.997817876
Property_1,63,67.997817876
Property_1,64,68.0698998211
Property_1,65,68.0698998211
Property_1,66,68.0698998211
Property_1,67,68.0698998211
Property_1,68,68.0702848633
Property_1,69,68.0702848633
Property_1,70,68.0702848633
Property_1,71,68.0702848633
Property_1,72,68.0702848633
Property_1,73,68.0702848633
Property_1,74,68.0702848633
Property_1,75,68.0702848633
Property_1,76,68.0702848633
Property_1,77,68.0702848633
Property_1,78,68.0702848633
Property_1,79,68.0702848633
Property_1,80,68.0702848633
