Property,m1,Result
Property_1,0,0
Property_1,1,0
Property_1,2,0
Property_1,3,0
Property_1,4,0
Property_1,5,0
Property_1,6,0
Property_1,7,0
Property_1,8,0
Property_1,9,0
Property_1,10,0
Property_1,11,0
Property_1,12,0
Property_1,13,0
Property_1,14,0
Property_1,15,0
Property_1,16,0
Property_1,17,0
Property_1,18,0
Property_1,19,0
Property_1,20,0
Property_1,21,0
Property_1,22,0
Property_1,23,0
Property_1,24,0
Property_1,25,0
Property_1,26,0
Property_1,27,0
Property_1,28,0
Property_1,29,0
Property_1,30,0
Property_1,31,0
Property_1,32,0
Property_1,33,0
Property_1,34,0
Property_1,35,0
Property_1,36,0
Property_1,37,0
Property_1,38,0
Property_1,39,0
Property_1,40,0
Property_1,41,0
Property_1,42,0
Property_1,43,0
Property_1,44,0
Property_1,45,0
Property_1,46,0
Property_1,47,0
Property_1,48,0.0561497326203
Property_1,49,0.0561497326203
Property_1,50,0.0561497326203
Property_1,51,0.0561497326203
Property_1,52,0.112299465241
Property_1,53,0.112299465241
Property_1,54,0.112299465241
Property_1,55,0.112299465241
Property_1,56,2.00267379679
Property_1,57,2.00267379679
Property_1,58,2.00267379679
Property_1,59,2.00267379679
Property_1,60,3.89304812834
Property_1,61,3.89304812834
Property_1,62,3.89304812834
Property_1,63,3.89304812834
Property_1,64,7.22459893048
Property_1,65,7.22459893048
Property_1,66,7.22459893048
Property_1,67,7.22459893048
Property_1,68,10.2788350634
Property_1,69,10.2788350634
Property_1,70,10.2859651882
Property_1,71,10.2859651882
Property_1,72,21.2505654668
Property_1,73,21.2505654668
Property_1,74,21.2505654668
Property_1,75,21.2505654668
Property_1,76,23.3338416918
Property_1,77,23.3338416918
Property_1,78,23.5636768076
Property_1,79,23.5636768076
Property_1,80,29.5041595515
Property_1,81,29.5041595515
Property_1,82,29.5058306745
Property_1,83,29.5058306745
Property_1,84,35.2065358229
Property_1,85,35.2065358229
Property_1,86,35.2981239733
Property_1,87,35.2981239733
Property_1,88,37.1730612936
Property_1,89,37.1730612936
Property_1,90,37.2542369122
Property_1,91,37.2542369122
Property_1,92,38.8755657146
Property_1,93,38.8755657146
Property_1,94,40.1226465546
Property_1,95,40.1226465546
Property_1,96,41.5241484214
Property_1,97,41.5241484214
Property_1,98,42.4120430233
Property_1,99,42.4120430233
Property_1,100,43.5040693731
Property_1,101,43.5040693731
Property_1,102,44.3837976682
Property_1,103,44.3837976682
Property_1,104,44.6444647876
Property_1,105,44.6444647876
Property_1,106,44.6937377945
Property_1,107,44.6937377945
Property_1,108,44.755090038
Property_1,109,44.755090038
Property_1,110,44.7574775562
Property_1,111,44.7574775562
Property_1,112,44.8051636975
Property_1,113,44.8051636975
Property_1,114,44.8418425457
Property_1,115,44.8418425457
Property_1,116,44.8830631889
Property_1,117,44.8830631889
Property_1,118,44.909177736
Property_1,119,44.909177736
Property_1,120,44.941296158
